modelFreeScore,seqId,seq,semantic
4.858832713786233E-5,49,1125315 -1  -2 ,'Acetaminophen' -1 -2 
4.8090966771660924E-5,30,956874 -1  -2 ,'Furosemide' -1 -2 
3.580121714195141E-5,128,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
3.185743346249977E-5,66,1174888 -1  -2 ,'Hydrocodone' -1 -2 
2.2704922977330013E-5,2019,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
2.194784171708371E-5,118,1742253 -1  -2 ,'Levofloxacin' -1 -2 
1.8455428182052506E-5,105,1551099 -1  -2 ,'Prednisone' -1 -2 
1.7136139809959772E-5,63,1154343 -1  -2 ,'Albuterol' -1 -2 
1.3107516305807086E-5,43,1112921 -1  -2 ,'Ipratropium' -1 -2 
1.0308954337360578E-5,75,1310149 -1  -2 ,'Warfarin' -1 -2 
9.709480022348527E-6,71,1307046 -1  -2 ,'Metoprolol' -1 -2 
9.668476294908276E-6,48,1124957 -1  -2 ,'Oxycodone' -1 -2 
8.135796132822554E-6,6,744740 -1  -2 ,'zolpidem' -1 -2 
8.063621396418105E-6,113,1713332 -1  -2 ,'Amoxicillin' -1 -2 
7.728179472804888E-6,3264,1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 -2 
7.693888701534596E-6,116,1734104 -1  -2 ,'Azithromycin' -1 -2 
7.135903547710067E-6,59,1153664 -1  -2 ,'Propoxyphene' -1 -2 
6.826908395365846E-6,3289,956874 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 -2 
6.764156545258381E-6,57,1153013 -1  -2 ,'Promethazine' -1 -2 
6.736969005764944E-6,11,791967 -1  -2 ,'Lorazepam' -1 -2 
6.588835352895466E-6,3050,1112921 1154343 -1  -2 ,'Ipratropium' 'Albuterol' -1 -2 
6.4373077413291725E-6,16,906780 -1  -2 ,'Metoclopramide' -1 -2 
6.281924230209653E-6,98,1518254 -1  -2 ,'Dexamethasone' -1 -2 
6.184832414132818E-6,290,19049105 -1 1125315 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' -1 -2 
6.083898872823463E-6,2021,1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 -2 
5.991551328941875E-6,72,1308216 -1  -2 ,'Lisinopril' -1 -2 
5.824405872861996E-6,125,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
5.8231205311461905E-6,78,1322184 -1  -2 ,'clopidogrel' -1 -2 
5.605426477672905E-6,3290,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
5.512338479271742E-6,42,1110410 -1  -2 ,'Morphine' -1 -2 
5.4152265399769475E-6,307,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
5.367114296779578E-6,124,1786621 -1  -2 ,'Cephalexin' -1 -2 
5.20605096728934E-6,1999,1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 -2 
4.914660734665336E-6,64,1163944 -1  -2 ,'Guaifenesin' -1 -2 
4.909707949018483E-6,55,1149380 -1  -2 ,'fluticasone' -1 -2 
4.847212977307274E-6,2020,1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 -2 
4.751889033197664E-6,110,1596977 -1  -2 ,'Insulin. Regular. Human' -1 -2 
4.517885949006338E-6,12,797399 -1  -2 ,'gabapentin' -1 -2 
4.4323421180783645E-6,87,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
4.333056555534059E-6,120,1754994 -1  -2 ,'Fluconazole' -1 -2 
4.2961536294489045E-6,17,907013 -1  -2 ,'Metolazone' -1 -2 
4.212895727952168E-6,892,1742253 -1 1125315 -1  -2 ,'Levofloxacin' -1 'Acetaminophen' -1 -2 
4.18220889281558E-6,79,1326303 -1  -2 ,'Digoxin' -1 -2 
4.175382729280169E-6,1574,1551099 -1 1125315 -1  -2 ,'Prednisone' -1 'Acetaminophen' -1 -2 
4.155887270580033E-6,891,1125315 -1 1742253 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 -2 
3.916447053994196E-6,2044,1174888 -1 956874 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 -2 
3.910582214506726E-6,3497,1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
3.874000120631892E-6,2043,956874 -1 1174888 -1  -2 ,'Furosemide' -1 'Hydrocodone' -1 -2 
3.75650741484349E-6,3500,1125315 1174888 -1 1125315 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 -2 
3.7529247917861774E-6,276,19049105 -1 1174888 -1  -2 ,'Potassium Chloride' -1 'Hydrocodone' -1 -2 
