coverage_modelFreeScore,seqId,seq,semantic
4.858832713786233E-5,23,1125315 -1  -2 ,'Acetaminophen' -1 -2 
4.8090966771660924E-5,12,956874 -1  -2 ,'Furosemide' -1 -2 
3.522089177941405E-6,64,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
8.063621396418105E-6,53,1713332 -1  -2 ,'Amoxicillin' -1 -2 
3.389219364230637E-6,45,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
9.709480022348527E-6,36,1307046 -1  -2 ,'Metoprolol' -1 -2 
3.580121714195141E-5,63,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
1.7448535519352232E-6,6,903963 -1  -2 ,'Triamcinolone' -1 -2 
2.7272223746060186E-6,15,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
3.405127976747106E-6,42,1346823 -1  -2 ,'carvedilol' -1 -2 
7.693888701534596E-6,55,1734104 -1  -2 ,'Azithromycin' -1 -2 
2.426576150866873E-6,28,1154029 -1  -2 ,'Fentanyl' -1 -2 
2.194784171708371E-5,57,1742253 -1  -2 ,'Levofloxacin' -1 -2 
2.3114079989461655E-6,49,1545958 -1  -2 ,'atorvastatin' -1 -2 
6.281924230209653E-6,46,1518254 -1  -2 ,'Dexamethasone' -1 -2 
1.331067843072427E-7,0,586413 -1  -2 ,'pneumococcal polysaccharides (23)' -1 -2 
1.7136139809959772E-5,30,1154343 -1  -2 ,'Albuterol' -1 -2 
4.909707949018483E-6,25,1149380 -1  -2 ,'fluticasone' -1 -2 
1.0308954337360578E-5,38,1310149 -1  -2 ,'Warfarin' -1 -2 
1.2788129876708636E-6,44,1503297 -1  -2 ,'Metformin' -1 -2 
6.764156545258381E-6,26,1153013 -1  -2 ,'Promethazine' -1 -2 
4.4323421180783645E-6,43,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
6.932290982860536E-7,18,989878 -1  -2 ,'Lidocaine' -1 -2 
5.367114296779578E-6,60,1786621 -1  -2 ,'Cephalexin' -1 -2 
1.6731400387630336E-6,3,781039 -1  -2 ,'Alprazolam' -1 -2 
7.083078560601088E-7,48,1539403 -1  -2 ,'Simvastatin' -1 -2 
3.8987991154663567E-7,16,975125 -1  -2 ,'Hydrocortisone' -1 -2 
3.1817371658855416E-6,41,1332418 -1  -2 ,'Amlodipine' -1 -2 
6.736969005764944E-6,4,791967 -1  -2 ,'Lorazepam' -1 -2 
3.546963780416258E-6,11,948078 -1  -2 ,'pantoprazole' -1 -2 
1.8455428182052506E-5,50,1551099 -1  -2 ,'Prednisone' -1 -2 
5.991551328941875E-6,37,1308216 -1  -2 ,'Lisinopril' -1 -2 
5.824405872861996E-6,61,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
2.2837763317166016E-6,52,1707164 -1  -2 ,'Metronidazole' -1 -2 
5.4126523602794037E-8,33,1177480 -1  -2 ,'Ibuprofen' -1 -2 
1.3107516305807086E-5,21,1112921 -1  -2 ,'Ipratropium' -1 -2 
8.135796132822554E-6,1,744740 -1  -2 ,'zolpidem' -1 -2 
4.333056555534059E-6,58,1754994 -1  -2 ,'Fluconazole' -1 -2 
1.0044685760545066E-6,17,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
2.7431229845112297E-7,19,997881 -1  -2 ,'Clindamycin' -1 -2 
1.5671308911111554E-6,2,778711 -1  -2 ,'cyclobenzaprine' -1 -2 
4.7641233445605504E-7,8,920458 -1  -2 ,'Betamethasone' -1 -2 
3.670609242389962E-7,47,1526475 -1  -2 ,'ezetimibe' -1 -2 
4.517885949006338E-6,5,797399 -1  -2 ,'gabapentin' -1 -2 
4.18220889281558E-6,40,1326303 -1  -2 ,'Digoxin' -1 -2 
2.4330752635618283E-6,56,1738521 -1  -2 ,'Doxycycline' -1 -2 
1.6665145170205785E-6,51,1705674 -1  -2 ,'Trimethoprim' -1 -2 
1.2178041949636298E-6,29,1154332 -1  -2 ,'Pseudoephedrine' -1 -2 
9.729551368442307E-7,7,904453 -1  -2 ,'Esomeprazole' -1 -2 
3.185743346249977E-5,32,1174888 -1  -2 ,'Hydrocodone' -1 -2 
9.668476294908276E-6,22,1124957 -1  -2 ,'Oxycodone' -1 -2 
