coverage_support,seqId,seq,semantic
700,382,956874 -1 1545958 -1  -2 ,'Furosemide' -1 'atorvastatin' -1 -2 
679,22,1334456 -1  -2 ,'Ramipril' -1 -2 
628,34,1136980 -1  -2 ,'Ketorolac' -1 -2 
598,26,1314002 -1  -2 ,'Atenolol' -1 -2 
639,28,1308842 -1  -2 ,'valsartan' -1 -2 
643,221,1713332 -1 1308216 -1  -2 ,'Amoxicillin' -1 'Lisinopril' -1 -2 
600,4,1777806 -1  -2 ,'Ceftriaxone' -1 -2 
661,17,1383815 -1  -2 ,'Isosorbide' -1 -2 
635,530,19121608 -1 19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
518,51,715939 -1  -2 ,'Escitalopram' -1 -2 
528,0,19135941 -1  -2 ,'Thallous chloride Tl201' -1 -2 
573,27,1309944 -1  -2 ,'Amiodarone' -1 -2 
586,47,905233 -1  -2 ,'Mometasone' -1 -2 
477,41,961047 -1  -2 ,'Ranitidine' -1 -2 
534,24,1328165 -1  -2 ,'Diltiazem' -1 -2 
445,20,1341927 -1  -2 ,'Enalapril' -1 -2 
563,50,739138 -1  -2 ,'Sertraline' -1 -2 
447,52,529411 -1  -2 ,'Tetanus Toxoid Vaccine' -1 -2 
467,516,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
588,1,19111620 -1  -2 ,'Folic Acid' -1 -2 
543,19,1367500 -1  -2 ,'Losartan' -1 -2 
540,5,1729720 -1  -2 ,'Penicillin V' -1 -2 
524,37,1118084 -1  -2 ,'celecoxib' -1 -2 
503,6,1596977 -1  -2 ,'Insulin. Regular. Human' -1 -2 
415,21,1335471 -1  -2 ,'benazepril' -1 -2 
406,12,1547504 -1  -2 ,'rosiglitazone' -1 -2 
538,38,1110410 -1  -2 ,'Morphine' -1 -2 
428,23,1331270 -1  -2 ,'Dipyridamole' -1 -2 
569,39,1000632 -1  -2 ,'Clotrimazole' -1 -2 
512,16,1398937 -1  -2 ,'Clonidine' -1 -2 
407,25,1316262 -1  -2 ,'sildenafil' -1 -2 
545,408,1163944 1201620 -1  -2 ,'Guaifenesin' 'Codeine' -1 -2 
498,2,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
416,44,920293 -1  -2 ,'Nitrofurantoin' -1 -2 
441,250,1125315 1786621 -1  -2 ,'Acetaminophen' 'Cephalexin' -1 -2 
513,33,1149196 -1  -2 ,'Cetirizine' -1 -2 
641,40,1000560 -1  -2 ,'Ondansetron' -1 -2 
634,420,956874 -1 1361711 -1  -2 ,'Furosemide' -1 'Nitroglycerin' -1 -2 
560,120,903963 -1 19121608 -1  -2 ,'Triamcinolone' -1 'Influenza virus vaccine' -1 -2 
495,30,1167322 -1  -2 ,'Allopurinol' -1 -2 
439,297,1125315 1713332 -1  -2 ,'Acetaminophen' 'Amoxicillin' -1 -2 
435,14,1517824 -1  -2 ,'Nicotinic Acid' -1 -2 
447,43,948582 -1  -2 ,'Polymyxin B' -1 -2 
475,458,1112921 -1 1112921 -1  -2 ,'Ipratropium' -1 'Ipratropium' -1 -2 
