coverage_modelFreeScore,seqId,seq,semantic
4.4323421180783645E-6,7,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
6.281924230209653E-6,5,1518254 -1  -2 ,'Dexamethasone' -1 -2 
3.1817371658855416E-6,8,1332418 -1  -2 ,'Amlodipine' -1 -2 
4.18220889281558E-6,9,1326303 -1  -2 ,'Digoxin' -1 -2 
5.4152265399769475E-6,48,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
1.181330969985831E-8,30,19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
5.4126523602794037E-8,12,1177480 -1  -2 ,'Ibuprofen' -1 -2 
1.2788129876708636E-6,6,1503297 -1  -2 ,'Metformin' -1 -2 
2.942274415236698E-6,19,970250 -1  -2 ,'Spironolactone' -1 -2 
2.426576150866873E-6,14,1154029 -1  -2 ,'Fentanyl' -1 -2 
1.652809648170498E-6,126,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
1.2178041949636298E-6,13,1154332 -1  -2 ,'Pseudoephedrine' -1 -2 
1.331067843072427E-7,29,586413 -1  -2 ,'pneumococcal polysaccharides (23)' -1 -2 
3.546963780416258E-6,20,948078 -1  -2 ,'pantoprazole' -1 -2 
1.6731400387630336E-6,26,781039 -1  -2 ,'Alprazolam' -1 -2 
1.2011017124851933E-6,110,1154343 -1 1154343 -1  -2 ,'Albuterol' -1 'Albuterol' -1 -2 
5.8231205311461905E-6,10,1322184 -1  -2 ,'clopidogrel' -1 -2 
1.7673535647338357E-7,105,1125315 1201620 -1  -2 ,'Acetaminophen' 'Codeine' -1 -2 
6.736969005764944E-6,25,791967 -1  -2 ,'Lorazepam' -1 -2 
3.8987991154663567E-7,18,975125 -1  -2 ,'Hydrocortisone' -1 -2 
2.7431229845112297E-7,16,997881 -1  -2 ,'Clindamycin' -1 -2 
6.932290982860536E-7,17,989878 -1  -2 ,'Lidocaine' -1 -2 
1.5671308911111554E-6,27,778711 -1  -2 ,'cyclobenzaprine' -1 -2 
8.135796132822554E-6,28,744740 -1  -2 ,'zolpidem' -1 -2 
3.670609242389962E-7,4,1526475 -1  -2 ,'ezetimibe' -1 -2 
1.3031702750320722E-7,63,1506270 -1 1506270 -1  -2 ,'Methylprednisolone' -1 'Methylprednisolone' -1 -2 
2.2837763317166016E-6,3,1707164 -1  -2 ,'Metronidazole' -1 -2 
4.7641233445605504E-7,22,920458 -1  -2 ,'Betamethasone' -1 -2 
1.7744234497106316E-6,116,1137529 1149380 -1  -2 ,'salmeterol' 'fluticasone' -1 -2 
1.1258236504314194E-6,2,1716903 -1  -2 ,'moxifloxacin' -1 -2 
5.688126839334765E-7,15,1103314 -1  -2 ,'Tramadol' -1 -2 
2.821014447664428E-8,88,1308216 -1 1308216 -1  -2 ,'Lisinopril' -1 'Lisinopril' -1 -2 
9.729551368442307E-7,23,904453 -1  -2 ,'Esomeprazole' -1 -2 
2.4330752635618283E-6,1,1738521 -1  -2 ,'Doxycycline' -1 -2 
1.3476416384433516E-7,226,939506 967823 986417 -1  -2 ,'Sodium Bicarbonate' 'Sodium Chloride' 'POLYETHYLENE GLYCOL 3350' -1 -2 
4.333056555534059E-6,0,1754994 -1  -2 ,'Fluconazole' -1 -2 
9.938537397475273E-7,11,1192710 -1  -2 ,'Chlorpheniramine' -1 -2 
5.189787554630173E-7,89,1307046 -1 1307046 -1  -2 ,'Metoprolol' -1 'Metoprolol' -1 -2 
6.588835352895466E-6,122,1112921 1154343 -1  -2 ,'Ipratropium' 'Albuterol' -1 -2 
1.66441837015283E-7,78,1346823 -1 1346823 -1  -2 ,'carvedilol' -1 'carvedilol' -1 -2 
3.056674070699671E-6,215,1125315 1174888 -1 956874 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Furosemide' -1 -2 
4.517885949006338E-6,24,797399 -1  -2 ,'gabapentin' -1 -2 
9.169047417299807E-7,84,956874 -1 1713332 -1  -2 ,'Furosemide' -1 'Amoxicillin' -1 -2 
1.602645127540785E-6,104,1174888 -1 1153013 -1  -2 ,'Hydrocodone' -1 'Promethazine' -1 -2 
7.736319053365712E-7,47,956874 -1 19121608 -1  -2 ,'Furosemide' -1 'Influenza virus vaccine' -1 -2 
3.0698675093009934E-7,54,1713332 -1 1759842 -1  -2 ,'Amoxicillin' -1 'Clavulanate' -1 -2 
9.542495062795713E-8,62,1545958 -1 1545958 -1  -2 ,'atorvastatin' -1 'atorvastatin' -1 -2 
1.57470802251378E-6,117,1125315 -1 1153664 -1  -2 ,'Acetaminophen' -1 'Propoxyphene' -1 -2 
9.735336201644638E-7,100,1125315 -1 1307046 -1  -2 ,'Acetaminophen' -1 'Metoprolol' -1 -2 
6.183529074544458E-7,85,1713332 -1 956874 -1  -2 ,'Amoxicillin' -1 'Furosemide' -1 -2 
3.1609967335083444E-7,132,1125315 -1 974166 -1  -2 ,'Acetaminophen' -1 'Hydrochlorothiazide' -1 -2 
3.1433759679191155E-7,173,1786621 -1 1125315 1174888 -1  -2 ,'Cephalexin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
2.1957650903666747E-7,21,923645 -1  -2 ,'Omeprazole' -1 -2 
2.09703091667565E-7,160,1713332 -1 1713332 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 'Amoxicillin' -1 -2 
