Count,AUC,Comment
5,0.5625417077032917,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
13,0.7162752718728868,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
21,0.758005006297728,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
29,0.7827420336187169,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
37,0.8048265184152813,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
45,0.8301161089196426,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
53,0.8404171568812677,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
61,0.8440167997410821,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
69,0.8482509761101458,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70+D41+D71+D83+D123+D82+D131+D136+D99, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
77,0.8492282835522275,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70+D41+D71+D83+D123+D82+D131+D136+D99+D64+D73+D106+D111+D33+D135+D143+D36, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
85,0.8509561696231589,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70+D41+D71+D83+D123+D82+D131+D136+D99+D64+D73+D106+D111+D33+D135+D143+D36+D81+D127+D125+D199+D90+D52+D206+D67, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
93,0.852650912647327,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70+D41+D71+D83+D123+D82+D131+D136+D99+D64+D73+D106+D111+D33+D135+D143+D36+D81+D127+D125+D199+D90+D52+D206+D67+D57+D79+D92+D124+D42+D260+D176+D172, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
101,0.8640937031601066,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70+D41+D71+D83+D123+D82+D131+D136+D99+D64+D73+D106+D111+D33+D135+D143+D36+D81+D127+D125+D199+D90+D52+D206+D67+D57+D79+D92+D124+D42+D260+D176+D172+D50+D44+D55+D161+D114+D32+D157+D201, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
109,0.8670984613381792,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70+D41+D71+D83+D123+D82+D131+D136+D99+D64+D73+D106+D111+D33+D135+D143+D36+D81+D127+D125+D199+D90+D52+D206+D67+D57+D79+D92+D124+D42+D260+D176+D172+D50+D44+D55+D161+D114+D32+D157+D201+D241+D60+D151+D58+D98+D31+D66+D129, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
117,0.8693114591504265,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2005-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D7+D5+D8+D9+D48+D30+D12+D6+D19+D14+D126+D13+D29+D20+D26+D110+D10+D105+D25+D18+D16+D17+D27+D28+D4+D63+D3+D22+D116+D2+D15+D88+D23+D1+D226+D0+D11+D89+D122+D78+D215+D24+D84+D104+D47+D54+D62+D117+D100+D85+D132+D173+D21+D160+D59+D61+D76+D77+D51+D97+D70+D41+D71+D83+D123+D82+D131+D136+D99+D64+D73+D106+D111+D33+D135+D143+D36+D81+D127+D125+D199+D90+D52+D206+D67+D57+D79+D92+D124+D42+D260+D176+D172+D50+D44+D55+D161+D114+D32+D157+D201+D241+D60+D151+D58+D98+D31+D66+D129+D94+D107+D75+D49+D120+D93+D96+D86, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
