modelFreeScore,seqId,seq,semantic
50.260456416589975,6,1125315 -1  -2 ,'Acetaminophen' -1 -2 
48.475376098132,23,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
48.475376098132,9,1174888 -1  -2 ,'Hydrocodone' -1 -2 
44.34626831189299,14,1551099 -1  -2 ,'Prednisone' -1 -2 
43.57835704478862,5,1124957 -1  -2 ,'Oxycodone' -1 -2 
24.39078462586133,4,956874 -1  -2 ,'Furosemide' -1 -2 
17.671514096149437,16,1742253 -1  -2 ,'Levofloxacin' -1 -2 
16.07257695137802,19,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
13.437302729240798,21,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
9.808942041192623,10,1307046 -1  -2 ,'Metoprolol' -1 -2 
9.223388426975735,8,1154343 -1  -2 ,'Albuterol' -1 -2 
5.540891171884772,0,739138 -1  -2 ,'Sertraline' -1 -2 
3.6617089737129427,2,791967 -1  -2 ,'Lorazepam' -1 -2 
3.1974860754771877,13,1518254 -1  -2 ,'Dexamethasone' -1 -2 
2.5502252959597715,20,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
2.0320882840591104,3,948078 -1  -2 ,'pantoprazole' -1 -2 
1.4225069264450578,17,1754994 -1  -2 ,'Fluconazole' -1 -2 
1.1850845721004464,1,781039 -1  -2 ,'Alprazolam' -1 -2 
0.5679136512460187,11,1310149 -1  -2 ,'Warfarin' -1 -2 
0.46583484464493835,12,1326303 -1  -2 ,'Digoxin' -1 -2 
0.45918505448476227,15,1713332 -1  -2 ,'Amoxicillin' -1 -2 
0.44024365905015594,22,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
0.44024365905015594,18,1759842 -1  -2 ,'Clavulanate' -1 -2 
0.3757318237964875,7,1153013 -1  -2 ,'Promethazine' -1 -2 
