modelFreeScore,seqId,seq,semantic
1.7408016723463607E-5,9,1310149 -1  -2 ,'Warfarin' -1 -2 
1.4018981606804546E-5,3,1518254 -1  -2 ,'Dexamethasone' -1 -2 
1.2592726450650436E-5,15,1000560 -1  -2 ,'Ondansetron' -1 -2 
1.1663598236630296E-5,12,1153013 -1  -2 ,'Promethazine' -1 -2 
1.1028538543387467E-5,6,1346823 -1  -2 ,'carvedilol' -1 -2 
1.0719837332297385E-5,19,970250 -1  -2 ,'Spironolactone' -1 -2 
8.708053201614484E-6,23,744740 -1  -2 ,'zolpidem' -1 -2 
8.465607265062767E-6,64,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
7.896650166391508E-6,65,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
7.857665023966106E-6,13,1149380 -1  -2 ,'fluticasone' -1 -2 
7.70794842615454E-6,35,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
7.29079084797793E-6,11,1153664 -1  -2 ,'Propoxyphene' -1 -2 
7.0136221557787605E-6,38,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
6.877989054820365E-6,32,1125315 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Potassium Chloride' -1 -2 
6.445024502442035E-6,37,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
6.151492923860139E-6,8,1322184 -1  -2 ,'clopidogrel' -1 -2 
5.626384764269101E-6,48,1125315 -1 1742253 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 -2 
5.371682823675591E-6,63,1174888 -1 956874 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 -2 
5.3062423174725565E-6,72,956874 -1 1125315 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
5.275238111706982E-6,36,19049105 -1 956874 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 -2 
5.270238392151823E-6,10,1201620 -1  -2 ,'Codeine' -1 -2 
5.000289921219904E-6,34,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
4.88812431097868E-6,47,1742253 -1 1125315 -1  -2 ,'Levofloxacin' -1 'Acetaminophen' -1 -2 
4.8164740014399315E-6,60,1125315 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Albuterol' -1 -2 
4.712901662293639E-6,31,1174888 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Potassium Chloride' -1 -2 
4.613353063487945E-6,25,19049105 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Potassium Chloride' -1 -2 
4.421123188856066E-6,1,1545958 -1  -2 ,'atorvastatin' -1 -2 
4.354498879221492E-6,59,1154343 -1 1125315 -1  -2 ,'Albuterol' -1 'Acetaminophen' -1 -2 
4.308661296696789E-6,7,1332418 -1  -2 ,'Amlodipine' -1 -2 
4.224526520700618E-6,67,19049105 -1 1125315 1174888 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
4.068500800300717E-6,62,1125315 -1 1124957 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 -2 
4.038955327927469E-6,16,989878 -1  -2 ,'Lidocaine' -1 -2 
4.024086941465136E-6,51,1125315 -1 1551099 -1  -2 ,'Acetaminophen' -1 'Prednisone' -1 -2 
3.823547670809243E-6,21,903963 -1  -2 ,'Triamcinolone' -1 -2 
3.816502147937524E-6,52,1551099 -1 1125315 -1  -2 ,'Prednisone' -1 'Acetaminophen' -1 -2 
3.7626151422255516E-6,5,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
3.544816278822853E-6,2,1539403 -1  -2 ,'Simvastatin' -1 -2 
3.1132694237697573E-6,58,1307046 -1 1125315 -1  -2 ,'Metoprolol' -1 'Acetaminophen' -1 -2 
2.8369158342506247E-6,61,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
2.7384160843348044E-6,20,923645 -1  -2 ,'Omeprazole' -1 -2 
2.7248036871270406E-6,53,956874 -1 1713332 -1  -2 ,'Furosemide' -1 'Amoxicillin' -1 -2 
2.551253946867665E-6,49,956874 -1 1734104 -1  -2 ,'Furosemide' -1 'Azithromycin' -1 -2 
2.5399011577178133E-6,0,1738521 -1  -2 ,'Doxycycline' -1 -2 
2.3680252023566167E-6,18,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
2.3393831349433935E-6,44,1125315 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 -2 
2.2802115860665074E-6,33,956874 -1 19121608 -1  -2 ,'Furosemide' -1 'Influenza virus vaccine' -1 -2 
2.2616754598375478E-6,73,956874 -1 1125315 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
2.247797320277985E-6,30,1125315 -1 19121608 -1  -2 ,'Acetaminophen' -1 'Influenza virus vaccine' -1 -2 
2.2452437749564835E-6,26,19049105 -1 1713332 -1  -2 ,'Potassium Chloride' -1 'Amoxicillin' -1 -2 
2.212085794417504E-6,66,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
2.1658928919358105E-6,14,1103314 -1  -2 ,'Tramadol' -1 -2 
2.049575914896808E-6,17,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
2.0492119709215966E-6,42,1713332 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 -2 
1.9039728265592594E-6,46,1125315 -1 1786621 -1  -2 ,'Acetaminophen' -1 'Cephalexin' -1 -2 
1.8592998025277247E-6,45,1786621 -1 1125315 -1  -2 ,'Cephalexin' -1 'Acetaminophen' -1 -2 
1.836071806569886E-6,56,1308216 -1 1125315 -1  -2 ,'Lisinopril' -1 'Acetaminophen' -1 -2 
1.7839576450974232E-6,55,1125315 -1 1506270 -1  -2 ,'Acetaminophen' -1 'Methylprednisolone' -1 -2 
1.752405742842975E-6,71,1125315 1174888 -1 1713332 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' -1 -2 
1.6030135890686522E-6,43,1797513 -1 1125315 -1  -2 ,'Ciprofloxacin' -1 'Acetaminophen' -1 -2 
1.5901120058752242E-6,4,1503297 -1  -2 ,'Metformin' -1 -2 
1.5537434049710804E-6,70,1713332 -1 1125315 1174888 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
