support,seqId,seq,semantic
5694,6,1346823 -1  -2 ,'carvedilol' -1 -2 
5467,2,1539403 -1  -2 ,'Simvastatin' -1 -2 
5258,21,903963 -1  -2 ,'Triamcinolone' -1 -2 
5176,13,1149380 -1  -2 ,'fluticasone' -1 -2 
5126,65,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
4961,18,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
4920,12,1153013 -1  -2 ,'Promethazine' -1 -2 
4803,10,1201620 -1  -2 ,'Codeine' -1 -2 
4782,38,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
4550,42,1713332 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 -2 
4535,3,1518254 -1  -2 ,'Dexamethasone' -1 -2 
4487,15,1000560 -1  -2 ,'Ondansetron' -1 -2 
4485,9,1310149 -1  -2 ,'Warfarin' -1 -2 
4484,64,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
4472,24,19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
4436,32,1125315 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Potassium Chloride' -1 -2 
4387,30,1125315 -1 19121608 -1  -2 ,'Acetaminophen' -1 'Influenza virus vaccine' -1 -2 
4322,1,1545958 -1  -2 ,'atorvastatin' -1 -2 
4165,37,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
4154,7,1332418 -1  -2 ,'Amlodipine' -1 -2 
4037,35,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
3954,4,1503297 -1  -2 ,'Metformin' -1 -2 
3869,25,19049105 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Potassium Chloride' -1 -2 
3857,29,19121608 -1 1125315 -1  -2 ,'Influenza virus vaccine' -1 'Acetaminophen' -1 -2 
3811,72,956874 -1 1125315 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
3783,36,19049105 -1 956874 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 -2 
3781,39,1734104 -1 1734104 -1  -2 ,'Azithromycin' -1 'Azithromycin' -1 -2 
3668,63,1174888 -1 956874 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 -2 
3647,31,1174888 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Potassium Chloride' -1 -2 
3634,61,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
3622,55,1125315 -1 1506270 -1  -2 ,'Acetaminophen' -1 'Methylprednisolone' -1 -2 
3617,71,1125315 1174888 -1 1713332 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' -1 -2 
3616,8,1322184 -1  -2 ,'clopidogrel' -1 -2 
3599,70,1713332 -1 1125315 1174888 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
3587,5,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
3585,17,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
3557,27,1174888 -1 19121608 -1  -2 ,'Hydrocodone' -1 'Influenza virus vaccine' -1 -2 
3555,11,1153664 -1  -2 ,'Propoxyphene' -1 -2 
3519,67,19049105 -1 1125315 1174888 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
3499,60,1125315 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Albuterol' -1 -2 
3480,14,1103314 -1  -2 ,'Tramadol' -1 -2 
3433,56,1308216 -1 1125315 -1  -2 ,'Lisinopril' -1 'Acetaminophen' -1 -2 
3433,19,970250 -1  -2 ,'Spironolactone' -1 -2 
3428,53,956874 -1 1713332 -1  -2 ,'Furosemide' -1 'Amoxicillin' -1 -2 
3427,66,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
3424,44,1125315 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 -2 
3406,59,1154343 -1 1125315 -1  -2 ,'Albuterol' -1 'Acetaminophen' -1 -2 
3382,51,1125315 -1 1551099 -1  -2 ,'Acetaminophen' -1 'Prednisone' -1 -2 
3371,54,1506270 -1 1125315 -1  -2 ,'Methylprednisolone' -1 'Acetaminophen' -1 -2 
3366,77,1125315 -1 1125315 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
3351,46,1125315 -1 1786621 -1  -2 ,'Acetaminophen' -1 'Cephalexin' -1 -2 
3345,76,1174888 -1 1174888 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
3327,47,1742253 -1 1125315 -1  -2 ,'Levofloxacin' -1 'Acetaminophen' -1 -2 
3320,74,1174888 -1 1125315 1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 -2 
3308,34,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
3297,48,1125315 -1 1742253 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 -2 
3291,68,1125315 1174888 -1 1734104 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Azithromycin' -1 -2 
3288,80,1125315 -1 1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
