Count,AUC,Comment
5,0.5437206926561586,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
7,0.5602102023175349,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
9,0.5758102210620887,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
11,0.5918299008756247,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
13,0.5994494101132689,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
15,0.6084594525344823,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
17,0.6085625729012201,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
19,0.609593764590785,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
21,0.6217569199774223,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
23,0.6223112373378537,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
25,0.6223444151261068,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
27,0.6329453445451215,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
29,0.6367933230977537,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
31,0.6379190350596319,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
33,0.6384001948278287,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
35,0.655678770148238,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
37,0.674886258366876,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
39,0.6794541755388427,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
41,0.6804491728435881,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
43,0.6823486710965465,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
45,0.6997545378705603,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
47,0.7015913802197304,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44+D33+D73, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
49,0.7069938689612087,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44+D33+D73+D30+D26, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
51,0.7129758766751488,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44+D33+D73+D30+D26+D66+D14, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
53,0.7256779834148254,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44+D33+D73+D30+D26+D66+D14+D17+D42, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
55,0.7273659608870493,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44+D33+D73+D30+D26+D66+D14+D17+D42+D46+D45, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
57,0.7322280343377491,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44+D33+D73+D30+D26+D66+D14+D17+D42+D46+D45+D56+D55, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
59,0.7331954557166201,"coxData<-read.csv(""data/IMEDS/CgstHfComorbidDS/SurvivalSeqDS_4/seqCox//seq_2010-10-10_VMSP_0.1_R.csv"", header=T, sep="","") ; coxfit<-coxph(Surv(Period,Failed)~D9+D3+D15+D12+D6+D19+D23+D64+D65+D13+D35+D11+D38+D32+D37+D8+D48+D63+D72+D36+D10+D34+D47+D60+D31+D25+D1+D59+D7+D67+D62+D16+D51+D21+D52+D5+D2+D58+D61+D20+D53+D49+D0+D18+D44+D33+D73+D30+D26+D66+D14+D17+D42+D46+D45+D56+D55+D71+D43, data=coxData,control = coxph.control(iter.max = 5000)); eta<-coxfit$linear.predictor; rauc<-risksetAUC(Stime=coxData$Period, status=coxData$Failed, marker=eta, method=""Cox"", tmax= max(coxData$Period),plot=FALSE)"
