coverage_modelFreeScore,seqId,seq,semantic
222.0535441444683,0,956874 -1  -2 ,'Furosemide' -1 -2 
29.645409795322106,3,1125315 -1  -2 ,'Acetaminophen' -1 -2 
26.263042565229142,1,1000560 -1  -2 ,'Ondansetron' -1 -2 
10.633010999914797,12,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
415.0673528971832,9,1713332 -1  -2 ,'Amoxicillin' -1 -2 
2.3321498273778123,13,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
184.11930076983109,5,1154343 -1  -2 ,'Albuterol' -1 -2 
157.54960735635595,7,1518254 -1  -2 ,'Dexamethasone' -1 -2 
1.7091060518863472,4,1153013 -1  -2 ,'Promethazine' -1 -2 
1.7132953353913525,8,1551099 -1  -2 ,'Prednisone' -1 -2 
23.957637098519196,6,1174888 -1  -2 ,'Hydrocodone' -1 -2 
2.521726139223327,2,1124957 -1  -2 ,'Oxycodone' -1 -2 
1.1887218983744325,10,1742253 -1  -2 ,'Levofloxacin' -1 -2 
265.38349922751,14,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
20.832902092620138,15,1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 -2 
265.38349922751,11,1759842 -1  -2 ,'Clavulanate' -1 -2 
